Nom,Propriétaire,Adresse,Code postal,Ville,Type
Pharmacie Becker,Maurice-Franck Raymond,"23, rue Sauvage",22830,Fernandezboeuf,Pharmacie
Espace Martineau,Anouk Dias,"34, rue de Étienne",65329,Saint Sophie-les-Bains,Autre
La Page Gomez,Alexandrie Alves,"957, boulevard Fernandez",9416,Wagnerdan,Librairie
Librairie Laine,Odette Bruneau,chemin Clerc,10560,Bazinboeuf,Librairie
Aux Délices Rodriguez,Édith Lecoq-Dumont,"901, chemin Gaillard",20430,Perrot,Patisserie
La Page Paul,Augustin Deschamps de la Bousquet,"52, boulevard de Morin",64756,Allain,Librairie
Espace Blin,Émile Delmas,"159, rue Lambert",82889,Aubry-sur-Gilles,Autre
Le Livre Lacroix,Patricia-Alix Mahe,"844, avenue Léger",58174,Saint Brigitte,Librairie
Pharmacie Legros,Susan Martins,"625, chemin de Alexandre",17878,Buisson,Pharmacie
Souvenirs Guilbert,Hugues Guillot,"5, rue Guy Pereira",7397,Chauvetnec,Souvenirs
Fast Menard,Isaac Verdier,"33, boulevard Chantal Didier",39609,Saint Anaïs,Restauration rapide
Boutique Souvenirs Bodin,Isabelle Fabre,"10, avenue Jeannine Guibert",86581,Regnier,Souvenirs
TechShop Petit,Martin Lucas,"66, avenue Roux",72675,Étienne,Electronique
Marché Lenoir,Auguste Collin du Salmon,"29, rue Carlier",47913,Pascal,Supermarché
Librairie Poulain,Eugène Marion,"18, rue Dos Santos",91441,Pauldan,Librairie
Épicerie Gérard,Christine Millet Le Goncalves,"649, boulevard de Rossi",62825,Ribeiro-sur-Ollivier,Supermarché
Librairie Durand,Margot Maillet,boulevard Thibault Pages,88744,Sainte Rémy,Librairie
Pharmacie Bègue,Henriette-Anastasie Guillon,"78, rue David",73817,Saint Alfreddan,Pharmacie
Pharmacie Bouvier,Clémence Pasquier,"96, avenue de Guyon",93163,Paul,Pharmacie
TechShop Guillaume,Marguerite Dupré-Martel,"35, boulevard Zacharie Morvan",45792,Bourdon,Electronique
La Page Guillet,Gérard Le Pascal,"54, rue de Blot",90600,Voisin,Librairie
Le Kiosque Lévêque,Laure Hervé-Rivière,"666, chemin Dupont",36831,Sainte Capucine-la-Forêt,Restauration rapide
Multimédia Letellier,Frédérique Renaud,"58, rue Chauvet",94700,Berger,Electronique
Pharmacie Girard,Hélène de la Roux,chemin Michelle Georges,13797,Thomas,Pharmacie
Pharmacie Dias,Lucas Guibert,"53, chemin Madeleine Lopez",97321,Grondin-sur-Joubert,Pharmacie
Pharmacie Rousset,Emmanuel Delattre,"7, rue Océane Charpentier",5109,Duhamel,Pharmacie
La Page Marion,Jacques Jacquet,"387, avenue de Maillard",24928,Sainte Isaacdan,Librairie
Souvenirs Jourdan,Éric-Aimé Gallet,"49, boulevard Riou",51946,Buissonboeuf,Souvenirs
La Page Fernandez,Brigitte Gonzalez,"45, chemin Jacob",30557,Boulanger,Librairie
Boutique Souvenirs Hernandez,Adrienne-Josette Guibert,"20, chemin Hugues Lebon",87614,Blot,Souvenirs
L'Atelier Sucré Lemaire,Julien Bonneau de la Vasseur,"82, boulevard de Besson",53818,Georges-sur-Mer,Patisserie
L'Atelier Sucré Ledoux,Zacharie Faivre-Godard,avenue de Evrard,90470,Saint Charles-sur-Mer,Patisserie
Pharmacie Baudry,Clémence Gaillard-Millet,"41, boulevard de Camus",12622,Lefèvredan,Pharmacie
Souvenirs Payet,Patricia du Thibault,avenue de Maillet,39840,Sainte Pierre,Souvenirs
Le Livre Bernard,Stéphane de Lambert,"91, rue Georges",5393,Arnaud-les-Bains,Librairie
Souvenirs Gosselin,Michelle Weber,"26, boulevard de Lucas",83980,Lemaire,Souvenirs
Le Comptoir Colin,Nathalie Evrard-Rodriguez,"10, avenue Margot Fouquet",69534,Gillet-sur-Mer,Autre
TechShop Hoarau,Marie Meyer,"11, avenue de Bonneau",97312,Leclerc,Electronique
Multimédia Mercier,Théophile Fontaine,"103, avenue Nicolas Gimenez",27872,Saint Constance,Electronique
Pharmacie Charpentier,Sébastien Julien-Verdier,"53, boulevard Louis",52407,Bonnet,Pharmacie
Pharmacie Pascal,Diane-Pénélope Berthelot,"6, avenue de Hardy",40813,Lejeune-les-Bains,Pharmacie
Librairie Ribeiro,Éléonore Faivre,"43, rue Susan Barthelemy",8675,Delattre-les-Bains,Librairie
Electro Chevallier,Gilbert Martins-Rémy,"8, rue Élise Ramos",24152,Hoareau,Electronique
Fast Maillet,Alice Legrand de la Samson,"437, chemin Alexandre Lecomte",24859,Sainte Patrick-sur-Mer,Restauration rapide
Le Bistrot Chauvin,Robert Lebrun-Diallo,"97, chemin de Le Gall",33468,Mahedan,Restaurant
Le Comptoir Perrin,Margaud Martins,"16, rue de Traore",19116,Lenoir,Autre
Snack Mary,Patricia-Lucie Brunet,"73, rue de Didier",70770,Boucher,Restauration rapide
Fast Ledoux,Victoire Jacques,"32, boulevard de Camus",23655,Saint Virginie,Restauration rapide
Pâtisserie Sanchez,Adrien Pasquier,"31, rue Bodin",58482,Sainte Margaux,Patisserie
Express Coulon,Adrien Rossi,"10, chemin de Regnier",36117,Rochernec,Restauration rapide
Digital Colin,Benoît Hardy,"93, chemin René Chauvin",11482,Jacques-sur-Mer,Electronique
Digital Grenier,Henri Pottier-Faure,"2, avenue Alexandria Courtois",60157,Saint Émile,Electronique
Restaurant Didier,Margot Moreno,rue de Rolland,27988,Ollivier-sur-Dupuy,Restaurant
TechShop Lambert,Zacharie Guyot,"602, rue Coste",19870,Garnier-la-Forêt,Electronique
Le Bistrot Goncalves,Isabelle-Nath Labbé,"36, rue de Charrier",95454,Saint Bernadette,Restaurant
Souvenirs Grondin,Jean Texier,"165, chemin de Lebreton",62333,Lenoir,Souvenirs
Le Livre Mallet,Éléonore Bazin,"51, rue Perez",34257,Mendès-les-Bains,Librairie
Chez Rousset,Margaud Alves,rue Le Gall,56468,Henry,Autre
Douceurs Payet,Éric Perret,"788, rue Blanc",45667,Sainte AliceVille,Patisserie
Marché Klein,Nath Merle,boulevard de Berger,73633,Pottier,Supermarché
Souvenirs Gillet,Daniel Royer,"37, rue Gay",35531,Guillet,Souvenirs
Pâtisserie Garnier,Jeannine Hoarau,"49, rue Grégoire Bailly",1505,Legendre,Patisserie
Aux Délices Gillet,Sabine Daniel,"624, rue de Voisin",40281,Julien-la-Forêt,Patisserie
Le Kiosque Guyon,Jacqueline Germain,"66, boulevard Bourgeois",75658,Normand,Restauration rapide
L'Encre Lecoq,Alexandrie Petitjean-Pinto,"57, rue de Lejeune",86611,Couturier,Librairie
Express Bailly,Gilbert Delmas-Brunet,"26, boulevard Christiane Guillon",51647,Jacquotnec,Restauration rapide
Pharmacie Devaux,Jules Boutin,"411, chemin de Brun",82727,Sainte Odette,Pharmacie
Boutique Rémy,Catherine Dubois,rue Danielle Letellier,66671,Lagarde-sur-Bruneau,Autre
Souvenirs Louis,Michelle Michaud,"682, avenue Duval",37525,Saint Véronique-les-Bains,Souvenirs
Souvenirs Lévêque,Jean Pineau de la Dijoux,"27, avenue Timothée Mercier",38145,Saint Claudeboeuf,Souvenirs
Le Livre Jourdan,Yves Gaillard,"38, rue de Rémy",71536,Grondinnec,Librairie
Le Kiosque Lombard,Éric Riou,"16, boulevard de Philippe",57706,PerrierVille,Restauration rapide
Restaurant Fischer,François Le Chrétien,"2, rue de Poulain",41301,Noël-la-Forêt,Restaurant
Le Bistrot Leconte,Margaux Godard,"269, chemin Camille Albert",79276,Bonneau,Restaurant
Souvenirs Maury,Yves Lucas,"4, rue Jules Besson",88244,Chevalliernec,Souvenirs
Restaurant Godard,Sébastien Jacob,"97, rue de Berthelot",21601,Joly,Restaurant
Pharmacie Lemoine,Stéphanie Legendre,rue Claire Dufour,24934,Guilbertdan,Pharmacie
Express Lejeune,Patricia Lacombe,"22, rue de Samson",28399,Sainte Maurice,Restauration rapide
L'Encre Tanguy,Émile Valette du Moreno,"98, boulevard Noël",34893,PoulainVille,Librairie
Snack Samson,Gabrielle Lamy,rue de Léger,5560,Lévêque,Restauration rapide
Cadeaux Fernandez,Célina Diallo,"69, boulevard de Lefort",54269,Joly-sur-Leclerc,Souvenirs
Cadeaux Leclerc,Roland Marty,"99, chemin Fischer",37396,Da Costa-sur-Buisson,Souvenirs
La Table Potier,Daniel Hamel,"5, rue de Boutin",17355,Mendès,Restaurant
La Table Lebrun,Yves Carlier-Camus,"746, rue Luce Lecoq",12512,Bouvet-la-Forêt,Restaurant
Pharmacie Lemonnier,Susanne Coulon,"801, chemin de Andre",68507,Gilbert,Pharmacie
Aux Délices Lecomte,Juliette Breton,"38, avenue de Le Goff",87880,Saint Eugène,Patisserie
Le Bistrot Toussaint,Agnès Denis,"17, rue Marie Payet",83409,Paris,Restaurant
Boutique Souvenirs Morin,Jeannine Perez,"70, chemin de Pages",89873,Gilbert,Souvenirs
Pharmacie Bègue,Benoît Martin,"31, rue de Paul",87555,Saint Marthe,Pharmacie
Boutique Souvenirs Le Goff,Marcel Lemonnier,"41, rue Nath Henry",14420,Ribeiro,Souvenirs
Aux Délices Dos Santos,Christiane Clerc,"91, rue de Bourdon",83268,Marty-sur-Mer,Patisserie
Express Techer,Lucas Chauvet,"23, rue Chrétien",16703,Martynec,Restauration rapide
Marché Gomes,Gérard Baron,"4, boulevard de Brunel",92722,Merle,Supermarché
Aux Délices Blot,Vincent Hernandez,"498, avenue de Collet",82155,Costa,Patisserie
Electro Collin,Georges Didier,"118, chemin Gilles Chevallier",72530,Morvan,Electronique
Cadeaux Normand,Noël Pires,boulevard Mercier,2368,Fournier,Souvenirs
Snack Lopez,Claude Renault,"766, boulevard Tanguy",78256,Perez,Restauration rapide
L'Atelier Sucré Ruiz,Pierre Martins,"256, avenue Nathalie Dupuis",8350,Sainte Gabrieldan,Patisserie
Douceurs Raymond,Andrée Ruiz de la Mathieu,rue de Boutin,2267,Perrot-la-Forêt,Patisserie
Electro Brun,Charlotte Bouvet,"1, avenue Richard Hardy",9369,Techer-sur-Garnier,Electronique
L'Atelier Mahe,Dominique Alves,boulevard Jacques Tessier,20361,Saint MichelVille,Autre
Épicerie Bertrand,Gérard Lambert,"36, rue Lenoir",91858,Hubertboeuf,Supermarché
Le Livre Menard,Margaud Dupuy,chemin de Mathieu,64789,Saint Maurice,Librairie
Le Bistrot Blondel,Luc Muller,"64, boulevard Pineau",2477,Klein,Restaurant
Chez Thibault,Thierry Berger du Tessier,"93, rue Robert",52124,Allard,Restaurant
Le Bistrot Perrot,Jacques Martin,"24, boulevard Gomez",53603,Saint Michèle,Restaurant
Electro Guyot,Alphonse Grondin,"85, rue de Blin",13617,Diaz,Electronique
Le Livre Carlier,Théodore Duhamel,rue Noël Klein,33971,Carlier,Librairie
Douceurs Bonnin,Margaud Sauvage,"41, boulevard Nicolas",20208,Lebreton,Patisserie
Pharmacie Turpin,Odette Mathieu,"83, avenue Rémy Mathieu",12261,Fischer,Pharmacie
Espace Grenier,Alice Fabre Le Caron,rue de Hamon,50625,Sainte Raymond,Autre
Pâtisserie Roger,Luc Sauvage,"831, rue Rivière",2163,Dumont,Patisserie
Supermarché Philippe,Michelle Torres,"5, rue François",25761,RodriguezBourg,Supermarché
Épicerie Rémy,Alphonse Pinto,boulevard Lesage,92504,Martineznec,Supermarché
Pharmacie Normand,Diane Monnier,"54, rue Arthur Bonneau",79731,Jourdan,Pharmacie
Épicerie Collet,Olivie Dias,"2, avenue Guillaume Humbert",25758,MenardVille,Supermarché
Pharmacie Weber,Valentine Devaux,"99, avenue Richard Arnaud",4426,Vasseur-sur-Martinez,Pharmacie
Pharmacie Merle,Antoine-Noël Laporte,"232, rue Da Costa",68935,Saint Hortense,Pharmacie
Multimédia Chevallier,Diane Schmitt,"155, chemin de Duhamel",72245,Roche-sur-Teixeira,Electronique
Marché Allard,Emmanuel Marin de Robin,boulevard Vasseur,3639,Martinboeuf,Supermarché
L'Atelier Sucré Bonneau,Christophe Le Wagner,"10, boulevard Fischer",19892,Sainte Davidboeuf,Patisserie
Pharmacie Fischer,Capucine Marques,"32, avenue de Riou",62764,Roger,Pharmacie
L'Atelier Sucré Neveu,Martine Hubert-Chartier,"56, chemin de Rodriguez",22846,Sainte Claude,Patisserie
Supermarché Pires,Alexandria-Édith Marion,"239, rue Vincent Vallet",10343,Julien,Supermarché
Souvenirs Brun,Xavier Riou,"17, rue Paul Jacquot",9458,Nicolas,Souvenirs
Boutique Souvenirs Fouquet,André Collin,"72, avenue Adèle Morvan",48203,Verdier-sur-Mer,Souvenirs
Snack Goncalves,Arnaude Fontaine,"6, rue David Le Goff",21484,Foucher,Restauration rapide
Digital Sanchez,Bernadette Maillot-Valentin,"70, rue de Seguin",55260,Saint Vincent,Electronique
Aux Délices Leclerc,Lucas Le Peltier,"23, avenue Masse",70960,BrunetVille,Patisserie
Digital Alves,Marcel Fernandez,"273, rue Picard",81398,Sainte CamilleBourg,Electronique
Le Livre Le Gall,Sylvie Camus,"91, rue Alexandrie Weber",47291,Bertrand-la-Forêt,Librairie
La Table Besnard,Julie Jean,"202, chemin Allard",52874,Dumas-sur-Lenoir,Restaurant
Pharmacie Bonnet,Paulette Regnier,"49, chemin Édouard Delaunay",91135,Masse-les-Bains,Pharmacie
Restaurant Mathieu,Diane Brun,"12, rue Maggie Gay",25942,Valentin,Restaurant
Aux Délices Poirier,Antoinette Fernandez,"668, boulevard Céline Richard",97699,Coste-sur-Barbe,Patisserie
Restaurant Humbert,Marc Gérard,"299, boulevard Valette",13904,Regnier,Restaurant
Chez Barre,Julie Jacob,"89, rue Baron",51247,Raynaud-sur-Bazin,Restaurant
Le Comptoir Lemonnier,Alex Delaunay,"80, chemin Alphonse Marques",38418,Marin,Autre
Boutique Souvenirs Grenier,Gabriel Lucas,"55, avenue de Texier",82191,Pichon,Souvenirs
Le Bistrot Lecomte,Véronique Thierry,"90, rue Langlois",90618,DufourVille,Restaurant
Supermarché Giraud,Eugène de Menard,rue Agnès Fischer,25380,Barthelemy,Supermarché
Boutique Souvenirs Bodin,Chantal Bazin,chemin Camus,76556,Reynaud,Souvenirs
Supermarché Coste,Marine Barre-Goncalves,"5, avenue Girard",20974,Valette-sur-Benoit,Supermarché
La Table Louis,Yves Leclerc-Royer,"18, rue de Reynaud",17762,Brunel,Restaurant
Le Bistrot Petit,Gilbert Raynaud-Schneider,"76, avenue Philippe Carpentier",59409,Ferrandnec,Restaurant
Supermarché Mary,Adrien Gros,"58, rue Christine Andre",43383,Baron,Supermarché
Pharmacie Bertin,Étienne Gérard de la Boyer,"35, rue de Bègue",63402,Humbert,Pharmacie
Restaurant Lebon,Alex Guillon,"435, boulevard de Diaz",97670,Guillou,Restaurant
Le Livre Ribeiro,Vincent Pascal,"81, chemin Pages",71881,Bazin,Librairie
Multimédia Daniel,Frédéric Monnier,"66, chemin Isabelle Cousin",59971,Sainte BernardBourg,Electronique
Electro Georges,Philippe de Bazin,"146, rue Bourgeois",43519,Albert-sur-Meunier,Electronique
